STATE FIPS,COUNTY FIPS,STATE/TERRITORY NAME,COUNTY NAME, 2010 POPULATION , 2015 POPULATION , LAND AREA (Sqare Miles) 
01,001,Alabama,Autauga County," 54,571 "," 55,347 ", 594.436 
01,003,Alabama,Baldwin County," 182,265 "," 203,709 "," 1,589.784 "
01,005,Alabama,Barbour County," 27,457 "," 26,489 ", 884.876 
01,007,Alabama,Bibb County," 22,915 "," 22,583 ", 622.582 
01,009,Alabama,Blount County," 57,322 "," 57,673 ", 644.776 
01,011,Alabama,Bullock County," 10,914 "," 10,696 ", 622.805 
01,013,Alabama,Butler County," 20,947 "," 20,154 ", 776.829 
01,015,Alabama,Calhoun County," 118,572 "," 115,620 ", 605.868 
01,017,Alabama,Chambers County," 34,215 "," 34,123 ", 596.531 
01,019,Alabama,Cherokee County," 25,989 "," 25,859 ", 553.700 
01,021,Alabama,Chilton County," 43,643 "," 43,943 ", 692.854 
01,023,Alabama,Choctaw County," 13,859 "," 13,170 ", 913.500 
01,025,Alabama,Clarke County," 25,833 "," 24,675 "," 1,238.465 "
01,027,Alabama,Clay County," 13,932 "," 13,555 ", 603.961 
01,029,Alabama,Cleburne County," 14,972 "," 15,018 ", 560.100 
01,031,Alabama,Coffee County," 49,948 "," 51,211 ", 678.972 
01,033,Alabama,Colbert County," 54,428 "," 54,354 ", 592.619 
01,035,Alabama,Conecuh County," 13,228 "," 12,672 ", 850.156 
01,037,Alabama,Coosa County," 11,539 "," 10,724 ", 650.926 
01,039,Alabama,Covington County," 37,765 "," 37,835 "," 1,030.456 "
01,041,Alabama,Crenshaw County," 13,906 "," 13,963 ", 608.840 
01,043,Alabama,Cullman County," 80,406 "," 82,005 ", 734.841 
01,045,Alabama,Dale County," 50,251 "," 49,565 ", 561.150 
01,047,Alabama,Dallas County," 43,820 "," 41,131 ", 978.695 
01,049,Alabama,DeKalb County," 71,109 "," 71,130 ", 777.093 
01,051,Alabama,Elmore County," 79,303 "," 81,468 ", 618.485 
01,053,Alabama,Escambia County," 38,319 "," 37,789 ", 945.080 
01,055,Alabama,Etowah County," 104,430 "," 103,057 ", 534.991 
01,057,Alabama,Fayette County," 17,241 "," 16,759 ", 627.660 
01,059,Alabama,Franklin County," 31,704 "," 31,696 ", 633.821 
01,061,Alabama,Geneva County," 26,790 "," 26,777 ", 574.408 
01,063,Alabama,Greene County," 9,045 "," 8,479 ", 647.110 
01,065,Alabama,Hale County," 15,760 "," 15,068 ", 643.943 
01,067,Alabama,Henry County," 17,302 "," 17,221 ", 561.750 
01,069,Alabama,Houston County," 101,547 "," 104,173 ", 579.824 
01,071,Alabama,Jackson County," 53,227 "," 52,419 "," 1,077.868 "
01,073,Alabama,Jefferson County," 658,466 "," 660,367 "," 1,111.276 "
01,075,Alabama,Lamar County," 14,564 "," 13,886 ", 604.846 
01,077,Alabama,Lauderdale County," 92,709 "," 92,596 ", 667.697 
01,079,Alabama,Lawrence County," 34,339 "," 33,115 ", 690.678 
01,081,Alabama,Lee County," 140,247 "," 156,993 ", 607.536 
01,083,Alabama,Limestone County," 82,782 "," 91,663 ", 559.936 
01,085,Alabama,Lowndes County," 11,299 "," 10,458 ", 715.911 
01,087,Alabama,Macon County," 21,452 "," 19,105 ", 608.885 
01,089,Alabama,Madison County," 334,811 "," 353,089 ", 801.593 
01,091,Alabama,Marengo County," 21,027 "," 20,028 ", 976.882 
01,093,Alabama,Marion County," 30,776 "," 30,168 ", 742.292 
01,095,Alabama,Marshall County," 93,019 "," 94,725 ", 565.842 
01,097,Alabama,Mobile County," 412,992 "," 415,395 "," 1,229.435 "
01,099,Alabama,Monroe County," 23,068 "," 21,673 "," 1,025.675 "
01,101,Alabama,Montgomery County," 229,363 "," 226,519 ", 784.247 
01,103,Alabama,Morgan County," 119,490 "," 119,565 ", 579.337 
01,105,Alabama,Perry County," 10,591 "," 9,652 ", 719.664 
01,107,Alabama,Pickens County," 19,746 "," 20,864 ", 881.408 
01,109,Alabama,Pike County," 32,899 "," 33,046 ", 672.094 
01,111,Alabama,Randolph County," 22,913 "," 22,696 ", 580.550 
01,113,Alabama,Russell County," 52,947 "," 59,660 ", 641.140 
01,115,Alabama,St. Clair County," 83,593 "," 87,074 ", 631.902 
01,117,Alabama,Shelby County," 195,085 "," 208,713 ", 784.930 
01,119,Alabama,Sumter County," 13,763 "," 13,103 ", 903.887 
01,121,Alabama,Talladega County," 82,291 "," 80,862 ", 736.775 
01,123,Alabama,Tallapoosa County," 41,616 "," 40,844 ", 716.521 
01,125,Alabama,Tuscaloosa County," 194,656 "," 203,976 "," 1,321.755 "
01,127,Alabama,Walker County," 67,023 "," 65,294 ", 791.192 
01,129,Alabama,Washington County," 17,581 "," 16,804 "," 1,080.207 "
01,131,Alabama,Wilcox County," 11,670 "," 11,059 ", 888.498 
